Series Name,Series Code,Country Name,Country Code,1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GNI (current US$),NY.GNP.MKTP.CD,Afghanistan,AFG,1868886653.33333,1631108937.77778,1771108944.44444,2202222228.88889,2417777777.77778,2611111162.22222,3017777697.77778,3371111037.77778,3775743789.47368,3716553247.16553,3551514995.9596,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12403617031.1715,15884505937.9604,17784879609.8747,20033093818.0157,20632806188.1123,20482514565.8958,20087077459.0293,18197299091.7979,19118263186.9456,18544615039.8087,19597763437.0276,..
GNI (current US$),NY.GNP.MKTP.CD,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,..,..,1860538011.88334,1898450133.4326,2097426250,2081196250,2051436250,2252990000,2026653750,1077859027.77778,617074990.170926,1219215468.95285,1894751525.25858,2436364853.42107,3271442591.26173,2308870570.55215,2623047752.71236,3287195806.66184,3586734166.15744,4070817915.21648,4475531638.29414,5783429392.4242,7360280000.31168,8226134275.15488,9159095071.11884,10974641470.1657,12936158460.7353,11851853961.071,11807221086.4882,12893881300.3118,12228769169.62,12996517125.1415,13350453574.1373,11521024705.9225,12054338166.2203,13053733602.8547,15129831617.421,15077445950.4731,..
GNI (current US$),NY.GNP.MKTP.CD,Algeria,DZA,5036510727.517,6739483875.28436,8639333047.08022,13137957041.7145,15380692155.7705,17416132571.209,19801118983.3124,25098700446.3047,31537352035.9173,40476612846.9055,42348348278.4188,43217846086.8429,47009480391.7474,52019304711.6427,56393654500.9746,62003192577.6265,64843504886.5979,56590250659.363,53585097371.5337,59777294329.0913,43167757061.6576,45843298246.0158,48196455219.5331,40807744205.4822,39574052577.471,44381496854.7371,45957862443.0312,46187747552.7333,46350580406.7654,52080233855.966,53054725765.7191,54530246981.7525,65163841333.4195,81725003122.0947,98110251003.3943,112392321306.159,132868426187.354,169777451612.066,135893483715.184,160765315145.814,198140724660.118,205149120239.335,205197778314.385,209040450595.829,161911491140.753,158429629654.883,167571235730.817,170985660377.358,166891289782.245,..
GNI (current US$),NY.GNP.MKTP.CD,American Samoa,ASM,..,..,75600000,77000000,67700000,68500000,79200000,84700000,105600000,127200000,139300000,151100000,166000000,178200000,189700000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GNI (current US$),NY.GNP.MKTP.CD,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GNI (current US$),NY.GNP.MKTP.CD,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6684491978.60963,6684491978.60963,6684491978.60963,6684491978.60963,10026737967.9144,10026737967.9144,10603784541.197,3498025673.08989,3237547175.39543,1943279029.73498,4771491965.00864,5829677653.68921,6730621459.63535,5537462252.37138,4780892936.47718,7448734815.41876,7375076435.20009,13650938445.0336,16086223836.3248,21063484641.148,32940028095.7467,46203141535.012,57667420502.4111,74821071498.8259,63484025273.4841,75712633817.0538,102092364937.169,117631104835.128,126809806035.747,136862298383.356,110286109906.073,95850167792.3992,114618206700.981,93523683283.3905,81299397793.303,..
GNI (current US$),NY.GNP.MKTP.CD,Antigua and Barbuda,ATG,..,..,..,..,..,..,77296753.7037037,87479341.4814815,107279978.888889,130231026.666667,145841734.444444,160669278.888889,181144092.962963,207972846.296296,238223924.814815,254406807.407407,297215602.592593,367011801.851852,393313307.037037,414144444.444444,449507407.407407,469614814.814815,512237037.037037,562870370.37037,550422222.222222,607511111.111111,658462962.962963,706822222.222222,742754814.814815,781851481.481481,775693333.333333,772934777.777778,817700000,874644296.296296,980922740.740741,1110919629.62963,1260091851.85185,1308986333.33333,1177509333.33333,1120979666.66667,1102571925.92593,1160321814.81481,1142788111.11111,1188978482.33391,1252478572.43216,1339482995.73854,1389228019.95239,1527400663.26139,1582208561.55849,..
GNI (current US$),NY.GNP.MKTP.CD,Argentina,ARG,33634600190.9299,34199500220.4044,52722220653.6761,72679890116.6394,53148109437.7931,51185002820.9107,56339203223.2598,57716474115.782,68626165140.837,76286574002.8188,76842107526.2031,79243829293.0471,98072174234.6778,74996801894.5786,83672502113.7452,105922220616.456,105942857983.875,120715908148.068,70219462542.1818,135150027050.147,183857364656.529,224530580052.493,233743662862.863,253743263100,253362890700,266647700700,286641204400,291542201400,276059280100,276655968900,260969968100,92763789032.7018,122451951871.839,146361588317.154,176153368006.277,224834650825.104,279935852673.42,352523846400.604,322657609584.289,409079888900.219,515090214471.667,532228535071.924,538860312670.019,514705826245.374,582644686839.529,545339165474.109,627248381597.131,499007480927.496,427609245335.736,..
GNI (current US$),NY.GNP.MKTP.CD,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2173850349.42117,2066190377.00437,1063305151.93599,1200013200.61044,1311138670.18013,1507838647.77696,1641698912.35584,1736697160.98728,1952541820.87074,1900438474.63788,1970535932.23616,2182070540.84243,2458706347.955,2899936467.50868,3724967487.29965,5106476347.91383,6686478486.4643,9703722526.74893,12353321001.708,9006718249.36627,9718566137.71057,10502184909.0834,11042356185.4721,11804012824.1465,12131728948.9464,10981745196.8255,10791285342.4912,11934826619.5224,12676547765.1085,13900535495.7806,..
GNI (current US$),NY.GNP.MKTP.CD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,398144981.36327,473189049.925187,579384500.969464,684019446.829983,757121754.065994,864373351.955307,948798379.888268,1065102625.69832,1225688268.15642,1305279329.60894,1362139664.80447,1508759776.53631,1659513966.48045,1680117318.43575,1849430167.59777,1862849162.01117,1805642458.10056,1967821229.05028,2154189944.13408,1852067039.10615,2318715083.79888,2230335195.53073,2628547486.03352,2410055865.92179,2250223463.68715,2302793296.08939,2418547486.03352,2537094972.06704,2662513966.48045,2794804469.27374,2830726256.98324,2885753966.48045,..,..,..
